id,text,label,priority
47,Bảng điện hành lang gần KSSV-431 nhảy aptomat liên tục.,điện,urgent
48,Phòng KSSV-205 có rác chưa dọn.,vệ sinh,normal
49,Internet khu vực KSSV-421 mất tín hiệu.,internet,normal
50,Phòng kssv-307 có rác chưa dọn.,vệ sinh,normal
51,Khu sinh viên khu vực phòng KSSV-282 mất điện toàn bộ.,điện,high
52,"Báo cáo vòi nước chung khu nhà ăn bị tuột đầu vòi, phun nước không kiểm soát.",nước,high
53,Thùng rác khu sinh viên gần KSSV-567 đầy tràn.,vệ sinh,normal
54,Phòng kssv-505 bị mất đồ cá nhân.,khác,high
55,Đèn trong phòng kssv-398 bị cháy.,điện,high
56,Nước chảy yếu ở nhà tắm kssv-493.,nước,normal
57,Nước chảy yếu ở nhà tắm gần phòng KSSV-467.,nước,normal
58,Phòng kssv-177 không có nước.,nước,high
59,Lỗi cổng ra vào KTX bị hỏng cảm biến tự động.,thiết bị,urgent
60,Điện tại phòng KSSV-586 chập chờn khi bật điều hòa.,điện,high
61,Phòng KSSV-513 có côn trùng bay vào thường xuyên.,khác,normal
62,Ổ điện bàn học phòng KSSV-159 không hoạt động.,thiết bị,normal
63,Phòng kssv-300 mất điện từ tối qua.,điện,high
64,Báo cáo mất trộm quần áo phơi ở khu vực ban công.,khác,normal
65,Tủ lạnh chung tầng 3 kssv bị rò điện.,thiết bị,high
66,Internet khu vực KSSV-410 mất tín hiệu.,internet,normal
67,"Báo cáo cây cối um tùm sau nhà, là nơi trú ngụ của rắn và côn trùng.",vệ sinh,normal
68,Sinh viên bị té ngã ở cầu thang do sàn trơn trượt (không có biển báo).,khác,normal
69,Quạt phòng KSSV-510 không quay.,thiết bị,normal
70,Ổ cắm phòng kssv-488 phát ra tia lửa.,điện,high
71,Đề nghị sửa chữa bánh xe của ghế học sinh bị hỏng.,thiết bị,normal
72,Đèn học phòng KSSV-502 bị hỏng.,thiết bị,normal
73,Nước chảy yếu ở nhà tắm kssv-261.,nước,normal
74,Bảng điện hành lang gần KSSV-439 nhảy aptomat liên tục.,điện,urgent
75,Ổ cắm phòng KSSV-303 phát ra tia lửa.,điện,urgent
76,Phòng kssv-442 không có nước.,nước,high
77,Wi-Fi phòng kssv-168 không kết nối được.,internet,normal
78,Cống thoát nước phòng KSSV-659 bị nghẹt.,vệ sinh,high
79,Phòng KSSV-468 bị mất đồ cá nhân.,khác,high
80,Phòng 605 bị thấm nước qua trần từ phòng tắm tầng trên.,nước,high
81,Điện tại phòng KSSV-545 chập chờn khi bật điều hòa.,điện,urgent
82,Nước chảy yếu ở nhà tắm kssv-254.,nước,normal
83,Ổ cắm phòng kssv-235 phát ra tia lửa.,điện,high
84,Ổ điện bàn học kssv-287 không hoạt động.,thiết bị,normal
85,Không vào được mạng ở phòng kssv-535.,internet,normal
86,Ổ điện bàn học kssv-229 không hoạt động.,thiết bị,normal
87,Phòng kssv-164 không có nước.,nước,high
88,Cần bổ sung rèm cửa cho phòng KSSV-149.,khác,normal
89,Lỗi máy bán hàng tự động không trả lại tiền thừa.,thiết bị,normal
90,Khu sinh viên khu vực phòng KSSV-204 mất điện toàn bộ.,điện,high
91,Phòng 702 bị giảm băng thông xuống mức rất thấp sau khi tải một file lớn.,internet,normal
92,Phòng KSSV-481 bị mất đồ cá nhân.,khác,high
93,Cống thoát nước phòng KSSV-448 bị nghẹt.,vệ sinh,normal
94,Vòi nước phòng KSSV-575 bị rò rỉ.,nước,high
95,Bảng điện hành lang gần KSSV-169 nhảy aptomat liên tục.,điện,urgent
96,"Lỗi hộp thư chung bị hỏng, thư từ bị ẩm ướt.",khác,normal
97,Lỗi công tắc điều khiển quạt thông gió nhà vệ sinh chung bị hỏng.,thiết bị,normal
98,Đèn học phòng kssv-688 bị hỏng.,thiết bị,normal
99,Báo cáo kết nối mạng bị gián đoạn mỗi khi có người gọi điện thoại.,internet,normal
100,"Ống nước tầng 4 bị vỡ, ảnh hưởng khu vực KSSV-552.",nước,urgent
101,Báo cáo camera an ninh khu vực nhà xe bị hỏng ống kính.,thiết bị,normal
102,Ổ cắm phòng kssv-148 phát ra tia lửa.,điện,high
103,Có người lạ đi lại gần phòng kssv-120 tối qua.,khác,normal
104,Phòng KSSV-152 không có nước từ từ sáng nay.,nước,high
105,Nước trong bồn rửa phòng KSSV-133 bị tắc.,nước,high
106,"Cần tăng cường tần suất dọn dẹp khu vực bếp chung, rất nhiều đồ ăn thừa.",vệ sinh,normal
107,Có người lạ đi lại gần khu phòng KSSV-304 vào trưa nay.,khác,normal
108,Mạng kssv rất yếu buổi tối.,internet,normal
109,Điện phòng kssv-677 chập chờn khi bật điều hòa.,điện,high
110,"Router tầng 3 bị lỗi, phòng KSSV-428 không vào mạng.",internet,normal
111,Internet khu vực KSSV-550 mất tín hiệu.,internet,normal
112,Phòng kssv-190 bị mất đồ cá nhân.,khác,high
113,Nước chảy yếu ở nhà tắm gần phòng KSSV-229.,nước,normal
114,Phòng KSSV-505 có rác chưa dọn.,vệ sinh,normal
115,Internet khu vực KSSV-685 mất tín hiệu.,internet,normal
116,Cầu trượt ở khu vực vui chơi bị hỏng bậc thang.,thiết bị,normal
117,Phòng em muốn kiểm tra xem có ai dùng mạng của phòng không.,internet,normal
118,Thùng rác khu kssv đầy tràn.,vệ sinh,normal
119,"Router tầng 3 bị lỗi, phòng KSSV-167 không vào mạng.",internet,normal
120,"Báo cáo cây cối um tùm sau nhà, là nơi trú ngụ của rắn và côn trùng.",vệ sinh,normal
121,Cần tăng cường tuần tra bảo vệ khu vực cổng KTX.,khác,normal
122,Phòng kssv-498 có rác chưa dọn.,vệ sinh,normal
123,Phòng 301 bị thông báo lỗi vượt quá giới hạn lưu lượng.,internet,normal
124,Khu sinh viên khu vực phòng KSSV-183 mất điện toàn bộ.,điện,high
125,Mùi hôi từ nhà vệ sinh kssv-435 rất khó chịu.,vệ sinh,normal
126,Cần bổ sung rèm cửa cho phòng kssv-416.,khác,normal
127,Phòng 102 bị điện giật nhẹ khi chạm vào vỏ máy tính bàn.,điện,high
128,Cần bổ sung rèm cửa cho phòng KSSV-506.,khác,normal
129,"Ống nước tầng 3 bị vỡ, ảnh hưởng khu vực KSSV-564.",nước,urgent
130,"Đèn hành lang khu B nhấp nháy liên tục, gây khó chịu.",điện,normal
131,Đèn học phòng KSSV-604 bị hỏng.,thiết bị,normal
132,Phòng 705 bị kiểm tra và phạt vì vệ sinh phòng kém.,vệ sinh,normal
133,Có người lạ đi lại gần phòng kssv-307 tối qua.,khác,normal
134,Phòng kssv-464 có rác chưa dọn.,vệ sinh,normal
135,"Ống nước tầng 2 bị vỡ, ảnh hưởng khu vực KSSV-279.",nước,urgent
136,Phòng kssv-433 không có nước.,nước,high
137,Có tiếng ồn lớn từ phòng kssv-137 ban đêm.,khác,normal
138,Wi-Fi phòng KSSV-561 không kết nối được.,internet,normal
139,Nước trong bồn rửa phòng kssv-579 bị tắc.,nước,normal
140,Điều hòa phòng kssv-229 bị hỏng.,thiết bị,normal
141,Đèn học phòng KSSV-352 bị hỏng.,thiết bị,normal
142,Wi-Fi phòng kssv-134 không kết nối được.,internet,normal
143,Phòng KSSV-569 mất điện từ sáng nay.,điện,high
144,Phòng kssv-666 bị mất đồ cá nhân.,khác,high
145,Mùi hôi từ khu vệ sinh gần phòng KSSV-178 rất khó chịu.,vệ sinh,normal
146,Khu sinh viên khu vực phòng KSSV-271 mất điện toàn bộ.,điện,high
147,Ổ cắm phòng KSSV-529 phát ra tia lửa.,điện,urgent
148,Đèn sạc dự phòng bị nóng bất thường khi cắm vào ổ KTX.,điện,normal
149,Khu sinh viên khu vực phòng KSSV-421 mất điện toàn bộ.,điện,high
150,"Router tầng 6 bị lỗi, phòng KSSV-261 không vào mạng.",internet,normal
151,Nhà vệ sinh tầng 2 có mùi hôi.,vệ sinh,normal
152,Điện phòng kssv-488 chập chờn khi bật điều hòa.,điện,high
153,Wi-Fi phòng kssv-486 không kết nối được.,internet,normal
154,Mùi hôi từ khu vệ sinh gần phòng KSSV-691 rất khó chịu.,vệ sinh,normal
155,Nước chảy yếu ở nhà tắm gần phòng KSSV-672.,nước,normal
156,Bảng điện hành lang gần KSSV-258 nhảy aptomat liên tục.,điện,urgent
157,Lỗi kết nối bị từ chối do trùng MAC Address.,internet,normal
158,Báo cáo tiếng kêu cứu từ phòng 603 vào lúc nửa đêm.,khác,normal
159,Lỗi phòng giặt chung bị mất nước khi đang giặt.,khác,normal
160,KTX cần kiểm tra hệ thống tiếp địa vì máy tính phòng em bị giật nhẹ.,điện,high
161,Phòng kssv-644 mất điện từ tối qua.,điện,high
162,Ổ cắm điện ở phòng 501 bị chập mạch khi cắm máy pha cà phê.,điện,high
163,Cổng mạng LAN bị hỏng do tự ý tháo lắp.,internet,normal
164,Báo cáo mùi hôi thối nồng nặc bốc lên từ cống thoát nước nhà vệ sinh chung tầng 3.,vệ sinh,normal
165,Mùi hôi từ khu vệ sinh gần phòng KSSV-623 rất khó chịu.,vệ sinh,normal
166,Quạt phòng KSSV-310 không quay.,thiết bị,normal
167,Cần bổ sung rèm cửa cho phòng KSSV-664.,khác,normal
168,Điện tại phòng KSSV-479 chập chờn khi bật điều hòa.,điện,normal
169,"Lỗi thẻ điện không nạp được tiền, báo lỗi hệ thống.",điện,normal
170,Phòng 604 báo cáo mùi thuốc lá bay vào từ hành lang.,vệ sinh,normal
171,Phòng kssv-467 mất điện từ tối qua.,điện,high
172,Cần bổ sung rèm cửa cho phòng kssv-167.,khác,normal
173,Nước chảy yếu ở nhà tắm gần phòng KSSV-490.,nước,normal
174,Điều hòa phòng KSSV-498 bị hỏng.,thiết bị,normal
175,Quạt phòng KSSV-687 không quay.,thiết bị,normal
176,Phòng KSSV-362 có rác chưa dọn.,vệ sinh,normal
177,Cần vệ sinh khu vực xung quanh thùng rác chung.,vệ sinh,normal
178,Cần bổ sung rèm cửa cho phòng kssv-631.,khác,normal
179,Phòng kssv-275 không có nước.,nước,high
180,"Máy bơm nước phụ của tầng 7 bị hỏng công tắc nguồn, không thể khởi động.",điện,normal
181,Đề nghị KTX kiểm tra cường độ tín hiệu WiFi ở phòng 212.,internet,normal
182,"Cửa sổ phòng 303 bị hỏng chốt, gió lùa vào phòng.",thiết bị,normal
183,Ổ cắm phòng KSSV-139 phát ra tia lửa.,điện,urgent
184,Mùi hôi từ nhà vệ sinh kssv-605 rất khó chịu.,vệ sinh,normal
185,Ổ điện bàn học kssv-287 không hoạt động.,thiết bị,normal
186,Điện tại phòng KSSV-370 chập chờn khi bật điều hòa.,điện,high
187,Đèn học phòng KSSV-515 bị hỏng.,thiết bị,normal
188,Phòng 207 bị bảo vệ kiểm tra vệ sinh đột xuất.,vệ sinh,normal
189,Bóng đèn trần phòng 412 bị rơi khỏi máng.,điện,normal
190,Bảng điện hành lang gần KSSV-303 nhảy aptomat liên tục.,điện,urgent
191,Điều hòa phòng KSSV-527 bị hỏng.,thiết bị,normal
192,"Router tầng 4 bị lỗi, phòng KSSV-672 không vào mạng.",internet,normal
193,Ổ điện bàn học kssv-432 không hoạt động.,thiết bị,normal
194,Cần thay thế đèn chiếu sáng khu vực cầu thang thoát hiểm bị hỏng.,điện,normal
195,Quạt phòng KSSV-510 không quay.,thiết bị,normal
196,Phòng KSSV-354 có côn trùng bay vào thường xuyên.,khác,normal
197,Đèn trong phòng kssv-538 bị cháy.,điện,normal
198,Điện phòng kssv-349 chập chờn khi bật điều hòa.,điện,high
199,Phòng kssv-178 có rác chưa dọn.,vệ sinh,normal
200,Phòng KSSV-502 có rác chưa dọn.,vệ sinh,normal
201,"Ống nước tầng 4 bị vỡ, ảnh hưởng khu vực KSSV-227.",nước,urgent
202,Báo cáo máy phát điện dự phòng không hoạt động khi mất điện.,điện,high
203,Nước trong bồn rửa phòng KSSV-690 bị tắc.,nước,normal
204,Cống thoát nước phòng KSSV-279 bị nghẹt.,vệ sinh,normal
205,Điều hòa phòng KSSV-633 bị hỏng.,thiết bị,normal
206,Nước chảy yếu ở nhà tắm gần phòng KSSV-670.,nước,normal
207,Nước trong bồn rửa phòng KSSV-564 bị tắc.,nước,normal
208,Ổ điện bàn học phòng KSSV-146 không hoạt động.,thiết bị,normal
209,"Router tầng 5 bị lỗi, phòng KSSV-587 không vào mạng.",internet,normal
210,Nước trong bồn rửa phòng KSSV-206 bị tắc.,nước,normal
211,Báo cáo dây cáp mạng bị hỏng do chuột cắn trong phòng 203.,internet,normal
212,Lỗi tốc độ tải xuống bị giới hạn rất thấp vào buổi tối (dưới 1Mbps).,internet,normal
213,Phòng kssv-147 mất điện từ tối qua.,điện,high
214,Phòng KSSV-394 không có nước từ sáng nay.,nước,high
215,Phòng KSSV-366 có rác chưa dọn.,vệ sinh,normal
216,Vòi nước phòng kssv-308 bị rò rỉ.,nước,high
217,Phòng KSSV-490 không có nước từ từ hôm qua.,nước,high
218,"Phòng em mất điện hoàn toàn sau khi bật máy sấy tóc (đã kiểm tra thẻ, vẫn còn tiền).",điện,high
219,Internet khu vực KSSV-232 mất tín hiệu.,internet,normal
220,Phòng KSSV-218 có côn trùng bay vào thường xuyên.,khác,normal
221,Phòng KSSV-530 mất điện từ sáng nay.,điện,high
222,Quạt phòng KSSV-193 không quay.,thiết bị,normal
223,Lỗi mạng KTX bị chặn truy cập vào ứng dụng học trực tuyến.,internet,high
224,Điện tại phòng KSSV-482 chập chờn khi bật điều hòa.,điện,high
225,Điều hòa phòng kssv-147 bị hỏng.,thiết bị,normal
226,Tủ lạnh chung tầng 4 kssv bị rò điện.,thiết bị,high
227,Wi-Fi phòng kssv-403 không kết nối được.,internet,normal
228,Cần sửa chữa cổng mạng bị biến dạng do sinh viên tự ý rút dây.,internet,normal
229,Phòng 109 bị phạt vì đổ nước thải ra hành lang.,vệ sinh,normal
230,Phòng KSSV-538 mất điện từ từ sáng nay.,điện,high
231,Lỗi mạng KTX không tương thích với hệ điều hành macOS mới nhất.,internet,normal
232,Cần bổ sung rèm cửa cho phòng KSSV-543.,khác,normal
233,Có tiếng ồn lớn từ phòng KSSV-202 vào tối qua.,khác,normal
234,Phòng KSSV-546 không có nước từ từ tối qua.,nước,high
235,Ổ điện bàn học phòng KSSV-337 không hoạt động.,thiết bị,normal
236,Nhà vệ sinh tầng 2 kssv có mùi hôi.,vệ sinh,normal
237,Có người lạ đi lại gần khu phòng KSSV-636 vào tối qua.,khác,normal
238,Vòi nước phòng kssv-203 bị rò rỉ.,nước,high
239,Ổ điện bàn học phòng KSSV-439 không hoạt động.,thiết bị,normal
240,Cần bổ sung rèm cửa cho phòng KSSV-635.,khác,normal
241,Phòng 404 bị phạt vì giấu rác trong tủ đồ cá nhân.,vệ sinh,normal
242,Nước trong bồn rửa phòng KSSV-435 bị tắc.,nước,normal
243,Ổ cắm phòng kssv-369 phát ra tia lửa.,điện,urgent
244,Wi-Fi phòng kssv-469 không kết nối được.,internet,normal
245,Cần bổ sung rèm cửa cho phòng kssv-195.,khác,normal
246,Phòng KSSV-292 bị mất đồ cá nhân.,khác,high
247,Không vào được mạng tại phòng KSSV-568.,internet,normal
248,Quạt phòng kssv-680 không quay.,thiết bị,normal
249,"Ống nước tầng 6 bị vỡ, ảnh hưởng khu vực KSSV-525.",nước,urgent
250,Mái hiên khu nhà B bị gió lớn làm rơi xuống.,khác,normal
251,"Ống nước tầng 4 bị vỡ, ảnh hưởng khu vực KSSV-594.",nước,urgent
252,Vòi nước phòng KSSV-550 bị rò rỉ.,nước,high
253,Cần sửa chữa cổng mạng bị biến dạng do sinh viên tự ý rút dây.,internet,normal
254,"Cần kiểm tra dây cáp mạng bị hở vỏ, có nguy cơ gây điện giật.",internet,normal
255,Báo cáo bồn cầu ở nhà vệ sinh chung tầng 6 bị nứt và rỉ nước thải.,thiết bị,high
256,Wi-Fi phòng kssv-431 không kết nối được.,internet,normal
257,Phòng kssv-516 mất điện từ tối qua.,điện,high
258,Quạt phòng kssv-197 không quay.,thiết bị,normal
259,"Ống nước tầng 5 bị vỡ, ảnh hưởng khu vực KSSV-182.",nước,urgent
260,Đèn trong phòng kssv-522 bị cháy.,điện,normal
261,Ổ điện bàn học kssv-239 không hoạt động.,thiết bị,normal
262,Đèn trong phòng kssv-293 bị cháy.,điện,normal
263,Phòng kssv-578 không có nước.,nước,high
264,Điều hòa phòng KSSV-409 bị hỏng.,thiết bị,normal
265,Đèn trong phòng kssv-560 bị cháy.,điện,normal
266,Không vào được mạng tại phòng KSSV-380.,internet,normal
267,"Khóa cửa phòng 602 bị hỏng lưỡi gà, không thể khóa được.",thiết bị,high
268,Có người lạ đi lại gần phòng kssv-293 tối qua.,khác,normal
269,Đèn học phòng kssv-359 bị hỏng.,thiết bị,normal
270,Không vào được mạng tại phòng KSSV-551.,internet,normal
271,"Ống nước tầng 5 bị vỡ, ảnh hưởng khu vực KSSV-430.",nước,urgent
272,Phòng 104 báo cáo thẻ từ ra vào bị mất từ tính.,thiết bị,normal
273,Ổ điện bàn học kssv-677 không hoạt động.,thiết bị,normal
274,Không vào được mạng ở phòng kssv-658.,internet,normal
275,"Chất thải rắn bị vứt vào toilet, gây tắc nghẽn.",vệ sinh,normal
276,Phòng KSSV-363 không có nước từ chiều nay.,nước,high
277,"Router tầng 6 bị lỗi, phòng KSSV-625 không vào mạng.",internet,normal
278,Không vào được mạng ở phòng kssv-114.,internet,normal
279,Mạng khu sinh viên rất yếu vào chiều nay.,internet,normal
280,Điện phòng kssv-557 chập chờn khi bật điều hòa.,điện,high
281,Ổ cắm phòng KSSV-578 phát ra tia lửa.,điện,urgent
282,Cống thoát nước phòng KSSV-279 bị nghẹt.,vệ sinh,normal
283,"Van khóa nước tổng khu D bị khóa, không có nước sử dụng.",nước,normal
284,Phòng 503 bị nấm mốc trắng mọc trên tường gần cửa sổ.,vệ sinh,normal
285,Ống nước tầng 4 kssv bị vỡ.,nước,urgent
286,Đề nghị KTX tăng cường bảo mật mạng để tránh virus và mã độc.,internet,normal
287,Ổ cắm phòng KSSV-180 phát ra tia lửa.,điện,high
288,Quạt phòng kssv-226 không quay.,thiết bị,normal
289,Mạng khu sinh viên rất yếu vào trưa nay.,internet,normal
290,Mùi hôi từ nhà vệ sinh kssv-400 rất khó chịu.,vệ sinh,normal
291,"Router tầng 6 bị lỗi, phòng KSSV-439 không vào mạng.",internet,normal
292,Phòng 408 bị nước chảy từ đường ống của điều hòa.,thiết bị,normal
293,Cống thoát nước phòng KSSV-199 bị nghẹt.,vệ sinh,normal
294,Báo cáo camera an ninh khu vực cầu thang bộ bị hỏng.,thiết bị,normal
295,Đèn trong phòng kssv-534 bị cháy.,điện,normal
296,Nước chảy yếu ở nhà tắm kssv-455.,nước,normal
297,"Cửa tủ đồ cá nhân phòng 412 bị bung bản lề, không đóng được.",thiết bị,normal
298,Mạng kssv rất yếu buổi tối.,internet,normal
299,Cống thoát nước phòng kssv-339 bị nghẹt.,vệ sinh,normal
300,Wi-Fi phòng KSSV-148 không kết nối được.,internet,normal
301,Mùi hôi từ nhà vệ sinh kssv-688 rất khó chịu.,vệ sinh,normal
302,Mùi hôi từ nhà vệ sinh kssv-236 rất khó chịu.,vệ sinh,normal
303,Khu sinh viên khu vực phòng KSSV-309 mất điện toàn bộ.,điện,high
304,Nước chảy yếu ở nhà tắm gần phòng KSSV-492.,nước,normal
305,Báo cáo bồn rửa tay bị ố vàng và có cặn bẩn bám vào.,vệ sinh,normal
306,Điều hòa phòng KSSV-215 bị hỏng.,thiết bị,normal
307,Bảng điện hành lang gần KSSV-646 nhảy aptomat liên tục.,điện,urgent
308,Phòng kssv-125 mất điện từ tối qua.,điện,high
309,"Ống nước tầng 2 bị vỡ, ảnh hưởng khu vực KSSV-137.",nước,high
310,Khu sinh viên khu vực phòng KSSV-689 mất điện toàn bộ.,điện,high
311,Thiết bị phát WiFi ở hành lang tầng 4 bị nóng rát bất thường.,internet,normal
312,Phòng kssv-444 mất điện từ tối qua.,điện,high
313,Thùng rác khu sinh viên gần KSSV-189 đầy tràn.,vệ sinh,normal
314,Điều hòa phòng KSSV-242 bị hỏng.,thiết bị,normal
315,Đèn học phòng kssv-229 bị hỏng.,thiết bị,normal
316,Báo cáo cầu chì của bộ sạc xe điện ở nhà xe bị nóng chảy.,điện,urgent
317,Cần bổ sung rèm cửa cho phòng kssv-472.,khác,normal
318,Báo cáo sinh viên bị thương do ngã trong phòng tắm chung.,khác,normal
319,Quạt phòng KSSV-126 không quay.,thiết bị,normal
320,Quạt phòng kssv-559 không quay.,thiết bị,normal
321,Cần bổ sung rèm cửa cho phòng kssv-339.,khác,normal
322,Điện phòng kssv-629 chập chờn khi bật điều hòa.,điện,high
323,Mùi hôi từ khu vệ sinh gần phòng KSSV-500 rất khó chịu.,vệ sinh,normal
324,Cống thoát nước phòng KSSV-425 bị nghẹt.,vệ sinh,normal
325,Điều hòa phòng kssv-147 bị hỏng.,thiết bị,normal
326,Cống thoát nước phòng KSSV-462 bị nghẹt.,vệ sinh,normal
327,Đèn trong phòng kssv-136 bị cháy.,điện,normal
328,Quạt phòng KSSV-402 không quay.,thiết bị,normal
329,Thùng rác khu sinh viên gần KSSV-218 đầy tràn.,vệ sinh,normal
330,Không vào được mạng tại phòng KSSV-240.,internet,normal
331,Có tiếng ồn lớn từ phòng kssv-351 ban đêm.,khác,normal
332,Quạt phòng KSSV-282 không quay.,thiết bị,normal
333,Nước rửa tay ở nhà vệ sinh chung bị hết.,vệ sinh,normal
334,"Router tầng 6 bị lỗi, phòng KSSV-625 không vào mạng.",internet,normal
335,Cổng mạng ở khu vực tự học chung bị mất kết nối.,internet,normal
336,Mùi hôi từ khu vệ sinh gần phòng KSSV-308 rất khó chịu.,vệ sinh,normal
337,Wi-Fi phòng KSSV-246 không kết nối được.,internet,normal
338,Không vào được mạng tại phòng KSSV-272.,internet,normal
339,Không vào được mạng tại phòng KSSV-257.,internet,normal
340,Khu sinh viên khu vực phòng KSSV-315 mất điện toàn bộ.,điện,high
341,Phòng kssv-110 không có nước.,nước,high
342,Ổ cắm phòng kssv-328 phát ra tia lửa.,điện,high
343,Điện phòng kssv-626 chập chờn khi bật điều hòa.,điện,high
344,Phòng kssv-516 mất điện từ tối qua.,điện,high
345,Có tiếng ồn lớn từ phòng kssv-318 ban đêm.,khác,normal
346,"Lỗi bộ ổn áp chung của tòa nhà bị quá tải, phát ra tiếng kêu lớn.",điện,normal
347,Phòng 404 bị sụt điện áp liên tục mỗi khi điều hòa phòng bên cạnh khởi động.,điện,high
348,"Ống nước tầng 6 bị vỡ, ảnh hưởng khu vực KSSV-270.",nước,urgent
349,Điện tại phòng KSSV-270 chập chờn khi bật điều hòa.,điện,high
350,"Phòng 301 báo cáo toilet bị tắc nghẽn hoàn toàn, không thể sử dụng.",nước,normal
351,Ổ cắm phòng kssv-191 phát ra tia lửa.,điện,high
352,Quạt phòng KSSV-387 không quay.,thiết bị,normal
353,Cống thoát nước phòng KSSV-480 bị nghẹt.,vệ sinh,normal
354,Có người lạ đi lại gần khu phòng KSSV-102 vào từ hôm qua.,khác,normal
355,Phòng kssv-602 có rác chưa dọn.,vệ sinh,normal
356,Vòi nước phòng kssv-629 bị rò rỉ.,nước,normal
357,Lỗi bình chữa cháy ở hành lang tầng 3 bị hết hạn sử dụng.,thiết bị,normal
358,Wi-Fi phòng KSSV-353 không kết nối được.,internet,normal
359,Ổ điện bàn học kssv-571 không hoạt động.,thiết bị,normal
360,Lỗi kết nối mạng bị chậm khi sử dụng trình duyệt Firefox.,internet,normal
361,Cần bổ sung rèm cửa cho phòng KSSV-149.,khác,normal
362,Điện phòng kssv-469 chập chờn khi bật điều hòa.,điện,high
363,Lỗi cổng mạng LAN phòng 506 không nhận tín hiệu từ dây mạng.,internet,normal
364,Ống thoát nước ở ban công bị tắc do rác.,vệ sinh,normal
365,Có người lạ đi lại gần phòng kssv-431 tối qua.,khác,normal
366,Thùng rác khu sinh viên gần KSSV-130 đầy tràn.,vệ sinh,normal
367,Đèn học phòng KSSV-419 bị hỏng.,thiết bị,normal
368,Mạng bị ngắt hoàn toàn vào các ngày lễ lớn mà không có thông báo.,internet,normal
