id,text,label,priority
47,Bảng điện hành lang gần KSSV-431 nhảy aptomat liên tục.,điện,urgent
48,Phòng KSSV-205 có rác chưa dọn.,vệ sinh,normal
49,Internet khu vực KSSV-421 mất tín hiệu.,internet,normal
50,Phòng kssv-307 có rác chưa dọn.,vệ sinh,normal
51,Khu sinh viên khu vực phòng KSSV-282 mất điện toàn bộ.,điện,high
52,"Báo cáo vòi nước chung khu nhà ăn bị tuột đầu vòi, phun nước không kiểm soát.",nước,high
53,Thùng rác khu sinh viên gần KSSV-567 đầy tràn.,vệ sinh,normal
54,Phòng kssv-505 bị mất đồ cá nhân.,khác,high
55,Đèn trong phòng kssv-398 b cháy.,điện,high
56,Nước chảy yếu ở nhà tắm kssv-493.,nước,normal
57,Nước chảy yếu ở nhà tắm gần phòng KSSV-467.,nước,normal
58,Phòng kssv-177 không có nước.,nước,high
59,Lỗi cổng ra vào KTX bị hng cảm biến tự động.,thiết bị,urgent
60,Đin tại phòng KSSV-586 chập chờn khi bật iều hòa.,điện,high
61,Phòng KSSV-513 có côn trùng bay vào thường xuyên.,khác,normal
62,Ổ điện bàn hc phòng KSSV-159 không hoạt động.,thiết bị,normal
63,Phòng kssv-300 mất điện từ tối qua.,điện,high
64,Báo cáo mất trộm quần áo phơi ở khu vực ban công.,khác,normal
65,Tủ lạnh chung tầng 3 kssv bị rò điện.,thiết bị,high
66,Internet khu vực KSSV-410 mất tín hiệu.,internet,normal
67,"Báo cáo cây cối um tùm sau nhà, là nơi trú ngụ của rắn và côn trùng.",vệ sinh,normal
68,Sinh viên bị té ngã ở cầu thang do sàn trơn trượt (không có biển báo).,khác,normal
69,Quạt phòng KSSV-510 không quay.,thiết bị,normal
70,cắm phòng kssv-488 phát ra tia lửa.,điện,high
71,Đề ngh sửa chữa bánh xe của ghế học sinh b hỏng.,thiết bị,normal
72,Đèn học phòng KSSV-502 b hỏng.,thiết bị,normal
73,Nước chảy yếu ở nhà tắm kssv-261.,nước,normal
74,Bảng điện hành lang gần KSSV-439 nhảy aptomat liên tục.,điện,urgent
75,cắm phòng KSSV-303 phát ra tia lửa.,điện,urgent
76,Phòng kssv-442 không có nước.,nước,high
77,Wi-Fi phòng kssv-168 không kết nối được.,internet,normal
78,Cống thoát nước phòng KSSV-659 bị nghẹt.,vệ sinh,high
79,Phòng KSSV-468 bị mất đồ cá nhân.,khác,high
80,Phòng 605 bị thấm nước qua trần từ phòng tắm tầng trên.,nước,high
81,Đin tại phòng KSSV-545 chập chờn khi bật iều hòa.,điện,urgent
82,Nước chảy yếu ở nhà tắm kssv-254.,nước,normal
83,cắm phòng kssv-235 phát ra tia lửa.,điện,high
84,Ổ điện bàn hc kssv-287 không hoạt động.,thiết bị,normal
85,Không vào được mạng ở phòng kssv-535.,internet,normal
86,Ổ điện bàn hc kssv-229 không hoạt động.,thiết bị,normal
87,Phòng kssv-164 không có nước.,nước,high
88,Cần bổ sung rèm cửa cho phòng KSSV-149.,khác,normal
89,Lỗi máy bán hàng tự động không trả lại tin thừa.,thiết bị,normal
90,Khu sinh viên khu vực phòng KSSV-204 mất điện toàn bộ.,điện,high
91,Phòng 702 bị giảm băng thông xuống mức rất thấp sau khi tải một file lớn.,internet,normal
92,Phòng KSSV-481 bị mất đồ cá nhân.,khác,high
93,Cống thoát nước phòng KSSV-448 bị nghẹt.,vệ sinh,normal
94,Vòi nước phòng KSSV-575 bị rò rỉ.,nước,high
95,Bảng điện hành lang gần KSSV-169 nhảy aptomat liên tục.,điện,urgent
96,"Lỗi hộp thư chung bị hng, thư từ bị ẩm ướt.",khác,normal
97,Lỗi công tắc điu khiển quạt thông gió nhà vệ sinh chung bị hng.,thiết bị,normal
98,Đèn học phòng kssv-688 b hỏng.,thiết bị,normal
99,Báo cáo kết nối mạng bị gián đoạn mỗi khi có ngưi gi điện thoại.,internet,normal
100,"ng nước tầng 4 bị vỡ, ảnh hưởng khu vực KSSV-552.",nước,urgent
101,Báo cáo camera an ninh khu vực nhà xe bị hng ống kính.,thiết bị,normal
102,cắm phòng kssv-148 phát ra tia lửa.,điện,high
103,Có ngưi lạ đi lại gần phòng kssv-120 tối qua.,khác,normal
104,Phòng KSSV-152 không có nước từ từ sáng nay.,nước,high
105,Nước trong bồn rửa phòng KSSV-133 bị tắc.,nước,high
106,"Cần tăng cưng tần suất dn dẹp khu vực bếp chung, rất nhiu đồ ăn thừa.",vệ sinh,normal
107,Có người lạ i lại gần khu phòng KSSV-304 vào trưa nay.,khác,normal
108,Mạng kssv rất yếu buổi tối.,internet,normal
109,Đin phòng kssv-677 chập chờn khi bật iều hòa.,điện,high
110,"Router tầng 3 bị lỗi, phòng KSSV-428 không vào mạng.",internet,normal
111,Internet khu vực KSSV-550 mất tín hiệu.,internet,normal
112,Phòng kssv-190 bị mất đồ cá nhân.,khác,high
113,Nước chảy yếu ở nhà tắm gần phòng KSSV-229.,nước,normal
114,Phòng KSSV-505 có rác chưa dọn.,vệ sinh,normal
115,Internet khu vực KSSV-685 mất tín hiệu.,internet,normal
116,Cầu trượt ở khu vực vui chơi bị hng bậc thang.,thiết bị,normal
117,Phòng em muốn kiểm tra xem có ai dùng mạng của phòng không.,internet,normal
118,Thùng rác khu kssv đầy tràn.,vệ sinh,normal
119,"Router tầng 3 bị lỗi, phòng KSSV-167 không vào mạng.",internet,normal
120,Cần tăng cưng tuần tra bảo vệ khu vực cổng KTX.,khác,normal
121,Phòng kssv-498 có rác chưa dọn.,vệ sinh,normal
122,Phòng 301 bị thông báo lỗi vượt quá giới hạn lưu lượng.,internet,normal
123,Khu sinh viên khu vực phòng KSSV-183 mất điện toàn bộ.,điện,high
124,Mùi hôi từ nhà vệ sinh kssv-435 rất khó chịu.,vệ sinh,normal
125,Cần bổ sung rèm cửa cho phòng kssv-416.,khác,normal
126,Phòng 102 bị điện giật nhẹ khi chạm vào v máy tính bàn.,điện,high
127,Cần bổ sung rèm cửa cho phòng KSSV-506.,khác,normal
128,"ng nước tầng 3 bị vỡ, ảnh hưởng khu vực KSSV-564.",nước,urgent
129,"Đèn hành lang khu B nhấp nháy liên tục, gây khó chu.",điện,normal
130,Đèn học phòng KSSV-604 b hỏng.,thiết bị,normal
131,Phòng 705 bị kiểm tra và phạt vì vệ sinh phòng kém.,vệ sinh,normal
132,Có ngưi lạ đi lại gần phòng kssv-307 tối qua.,khác,normal
133,Phòng kssv-464 có rác chưa dọn.,vệ sinh,normal
134,"ng nước tầng 2 bị vỡ, ảnh hưởng khu vực KSSV-279.",nước,urgent
135,Phòng kssv-433 không có nước.,nước,high
136,Có tiếng ồn lớn từ phòng kssv-137 ban đêm.,khác,normal
137,Wi-Fi phòng KSSV-561 không kết nối được.,internet,normal
138,Nước trong bồn rửa phòng kssv-579 bị tắc.,nước,normal
139,Điều hòa phòng kssv-229 b hỏng.,thiết bị,normal
140,Đèn học phòng KSSV-352 b hỏng.,thiết bị,normal
141,Wi-Fi phòng kssv-134 không kết nối được.,internet,normal
142,Phòng KSSV-569 mất điện từ sáng nay.,điện,high
143,Phòng kssv-666 bị mất đồ cá nhân.,khác,high
144,Mùi hôi từ khu vệ sinh gần phòng KSSV-178 rất khó chịu.,vệ sinh,normal
145,Khu sinh viên khu vực phòng KSSV-271 mất điện toàn bộ.,điện,high
146,cắm phòng KSSV-529 phát ra tia lửa.,điện,urgent
147,Đèn sạc dự phòng b nóng bất thường khi cắm vào KTX.,điện,normal
148,Khu sinh viên khu vực phòng KSSV-421 mất điện toàn bộ.,điện,high
149,"Router tầng 6 bị lỗi, phòng KSSV-261 không vào mạng.",internet,normal
150,Nhà vệ sinh tầng 2 có mùi hôi.,vệ sinh,normal
151,Đin phòng kssv-488 chập chờn khi bật iều hòa.,điện,high
152,Wi-Fi phòng kssv-486 không kết nối được.,internet,normal
153,Mùi hôi từ khu vệ sinh gần phòng KSSV-691 rất khó chịu.,vệ sinh,normal
154,Nước chảy yếu ở nhà tắm gần phòng KSSV-672.,nước,normal
155,Bảng điện hành lang gần KSSV-258 nhảy aptomat liên tục.,điện,urgent
156,Lỗi kết nối bị từ chối do trùng MAC Address.,internet,normal
157,Báo cáo tiếng kêu cứu từ phòng 603 vào lúc nửa đêm.,khác,normal
158,Lỗi phòng giặt chung bị mất nước khi đang giặt.,khác,normal
159,KTX cần kiểm tra hệ thống tiếp địa vì máy tính phòng em bị giật nhẹ.,điện,high
160,Phòng kssv-644 mất điện từ tối qua.,điện,high
161,Ổ cắm điện ở phòng 501 bị chập mạch khi cắm máy pha cà phê.,điện,high
162,Cổng mạng LAN bị hng do tự ý tháo lắp.,internet,normal
163,Báo cáo mùi hôi thối nồng nặc bốc lên từ cống thoát nước nhà vệ sinh chung tầng 3.,vệ sinh,normal
164,Mùi hôi từ khu vệ sinh gần phòng KSSV-623 rất khó chịu.,vệ sinh,normal
165,Quạt phòng KSSV-310 không quay.,thiết bị,normal
166,Cần bổ sung rèm cửa cho phòng KSSV-664.,khác,normal
167,Đin tại phòng KSSV-479 chập chờn khi bật iều hòa.,điện,normal
168,"Lỗi thẻ điện không nạp được tin, báo lỗi hệ thống.",điện,normal
169,Phòng 604 báo cáo mùi thuốc lá bay vào từ hành lang.,vệ sinh,normal
170,Phòng kssv-467 mất điện từ tối qua.,điện,high
171,Cần bổ sung rèm cửa cho phòng kssv-167.,khác,normal
172,Nước chảy yếu ở nhà tắm gần phòng KSSV-490.,nước,normal
173,Điều hòa phòng KSSV-498 b hỏng.,thiết bị,normal
174,Quạt phòng KSSV-687 không quay.,thiết bị,normal
175,Phòng KSSV-362 có rác chưa dọn.,vệ sinh,normal
176,Cần vệ sinh khu vực xung quanh thùng rác chung.,vệ sinh,normal
177,Cần bổ sung rèm cửa cho phòng kssv-631.,khác,normal
178,Phòng kssv-275 không có nước.,nước,high
179,"Máy bơm nước phụ của tầng 7 bị hng công tắc nguồn, không thể khởi động.",điện,normal
180,nghị KTX kiểm tra cưng độ tín hiệu WiFi ở phòng 212.,internet,normal
181,"Cửa sổ phòng 303 bị hng chốt, gió lùa vào phòng.",thiết bị,normal
182,cắm phòng KSSV-139 phát ra tia lửa.,điện,urgent
183,Mùi hôi từ nhà vệ sinh kssv-605 rất khó chịu.,vệ sinh,normal
184,Đin tại phòng KSSV-370 chập chờn khi bật iều hòa.,điện,high
185,Đèn học phòng KSSV-515 b hỏng.,thiết bị,normal
186,Phòng 207 bị bảo vệ kiểm tra vệ sinh đột xuất.,vệ sinh,normal
187,Bóng đèn trần phòng 412 bị rơi khi máng.,điện,normal
188,Bảng điện hành lang gần KSSV-303 nhảy aptomat liên tục.,điện,urgent
189,Điều hòa phòng KSSV-527 b hỏng.,thiết bị,normal
190,"Router tầng 4 bị lỗi, phòng KSSV-672 không vào mạng.",internet,normal
191,Ổ điện bàn hc kssv-432 không hoạt động.,thiết bị,normal
192,Cần thay thế đèn chiếu sáng khu vực cầu thang thoát hiểm bị hng.,điện,normal
193,Phòng KSSV-354 có côn trùng bay vào thường xuyên.,khác,normal
194,Đèn trong phòng kssv-538 b cháy.,điện,normal
195,Đin phòng kssv-349 chập chờn khi bật iều hòa.,điện,high
196,Phòng kssv-178 có rác chưa dọn.,vệ sinh,normal
197,Phòng KSSV-502 có rác chưa dọn.,vệ sinh,normal
198,"ng nước tầng 4 bị vỡ, ảnh hưởng khu vực KSSV-227.",nước,urgent
199,Báo cáo máy phát điện dự phòng không hoạt động khi mất điện.,điện,high
200,Nước trong bồn rửa phòng KSSV-690 bị tắc.,nước,normal
201,Cống thoát nước phòng KSSV-279 bị nghẹt.,vệ sinh,normal
202,Điều hòa phòng KSSV-633 b hỏng.,thiết bị,normal
203,Nước chảy yếu ở nhà tắm gần phòng KSSV-670.,nước,normal
204,Nước trong bồn rửa phòng KSSV-564 bị tắc.,nước,normal
205,Ổ điện bàn hc phòng KSSV-146 không hoạt động.,thiết bị,normal
206,"Router tầng 5 bị lỗi, phòng KSSV-587 không vào mạng.",internet,normal
207,Nước trong bồn rửa phòng KSSV-206 bị tắc.,nước,normal
208,Báo cáo dây cáp mạng bị hng do chuột cắn trong phòng 203.,internet,normal
209,Phòng kssv-147 mất điện từ tối qua.,điện,high
210,Phòng KSSV-394 không có nước từ sáng nay.,nước,high
211,Phòng KSSV-366 có rác chưa dọn.,vệ sinh,normal
212,Vòi nước phòng kssv-308 bị rò rỉ.,nước,high
213,Phòng KSSV-490 không có nước từ từ hôm qua.,nước,high
214,"Phòng em mất điện hoàn toàn sau khi bật máy sấy tóc (đã kiểm tra thẻ, vẫn còn tin).",điện,high
215,Internet khu vực KSSV-232 mất tín hiệu.,internet,normal
216,Phòng KSSV-218 có côn trùng bay vào thường xuyên.,khác,normal
217,Phòng KSSV-530 mất điện từ sáng nay.,điện,high
218,Quạt phòng KSSV-193 không quay.,thiết bị,normal
219,Lỗi mạng KTX bị chặn truy cập vào ứng dụng hc trực tuyến.,internet,high
220,Đin tại phòng KSSV-482 chập chờn khi bật iều hòa.,điện,high
221,Điều hòa phòng kssv-147 b hỏng.,thiết bị,normal
222,Tủ lạnh chung tầng 4 kssv bị rò điện.,thiết bị,high
223,Wi-Fi phòng kssv-403 không kết nối được.,internet,normal
224,Cần sửa chữa cổng mạng bị biến dạng do sinh viên tự ý rút dây.,internet,normal
225,Phòng 109 bị phạt vì đổ nước thải ra hành lang.,vệ sinh,normal
226,Phòng KSSV-538 mất điện từ từ sáng nay.,điện,high
227,Lỗi mạng KTX không tương thích với hệ điu hành macOS mới nhất.,internet,normal
228,Cần bổ sung rèm cửa cho phòng KSSV-543.,khác,normal
229,Có tiếng ồn lớn từ phòng KSSV-202 vào tối qua.,khác,normal
230,Phòng KSSV-546 không có nước từ từ tối qua.,nước,high
231,Ổ điện bàn hc phòng KSSV-337 không hoạt động.,thiết bị,normal
232,Nhà vệ sinh tầng 2 kssv có mùi hôi.,vệ sinh,normal
233,Có ngưi lạ đi lại gần khu phòng KSSV-636 vào tối qua.,khác,normal
234,Vòi nước phòng kssv-203 bị rò rỉ.,nước,high
235,Ổ điện bàn hc phòng KSSV-439 không hoạt động.,thiết bị,normal
236,Cần bổ sung rèm cửa cho phòng KSSV-635.,khác,normal
237,Phòng 404 bị phạt vì giấu rác trong tủ đồ cá nhân.,vệ sinh,normal
238,Nước trong bồn rửa phòng KSSV-435 bị tắc.,nước,normal
239,cắm phòng kssv-369 phát ra tia lửa.,điện,urgent
240,Wi-Fi phòng kssv-469 không kết nối được.,internet,normal
241,Cần bổ sung rèm cửa cho phòng kssv-195.,khác,normal
242,Phòng KSSV-292 bị mất đồ cá nhân.,khác,high
243,Không vào được mạng tại phòng KSSV-568.,internet,normal
244,Quạt phòng kssv-680 không quay.,thiết bị,normal
245,"ng nước tầng 6 bị vỡ, ảnh hưởng khu vực KSSV-525.",nước,urgent
246,Mái hiên khu nhà B bị gió lớn làm rơi xuống.,khác,normal
247,"ng nước tầng 4 bị vỡ, ảnh hưởng khu vực KSSV-594.",nước,urgent
248,Vòi nước phòng KSSV-550 bị rò rỉ.,nước,high
249,"Cần kiểm tra dây cáp mạng bị hở v, có nguy cơ gây điện giật.",internet,normal
250,Báo cáo bồn cầu ở nhà vệ sinh chung tầng 6 bị nứt và rỉ nước thải.,thiết bị,high
251,Wi-Fi phòng kssv-431 không kết nối được.,internet,normal
252,Phòng kssv-516 mất điện từ tối qua.,điện,high
253,Quạt phòng kssv-197 không quay.,thiết bị,normal
254,"ng nước tầng 5 bị vỡ, ảnh hưởng khu vực KSSV-182.",nước,urgent
255,Đèn trong phòng kssv-522 b cháy.,điện,normal
256,Ổ điện bàn hc kssv-239 không hoạt động.,thiết bị,normal
257,Đèn trong phòng kssv-293 b cháy.,điện,normal
258,Phòng kssv-578 không có nước.,nước,high
259,Điều hòa phòng KSSV-409 b hỏng.,thiết bị,normal
260,Đèn trong phòng kssv-560 b cháy.,điện,normal
261,Không vào được mạng tại phòng KSSV-380.,internet,normal
262,"Khóa cửa phòng 602 bị hng lưỡi gà, không thể khóa được.",thiết bị,high
263,Có ngưi lạ đi lại gần phòng kssv-293 tối qua.,khác,normal
264,Đèn học phòng kssv-359 b hỏng.,thiết bị,normal
265,Không vào được mạng tại phòng KSSV-551.,internet,normal
266,"ng nước tầng 5 bị vỡ, ảnh hưởng khu vực KSSV-430.",nước,urgent
267,Phòng 104 báo cáo thẻ từ ra vào bị mất từ tính.,thiết bị,normal
268,Ổ điện bàn hc kssv-677 không hoạt động.,thiết bị,normal
269,Không vào được mạng ở phòng kssv-658.,internet,normal
270,"Chất thải rắn bị vứt vào toilet, gây tắc nghẽn.",vệ sinh,normal
271,Phòng KSSV-363 không có nưc từ chiều nay.,nước,high
272,"Router tầng 6 bị lỗi, phòng KSSV-625 không vào mạng.",internet,normal
273,Không vào được mạng ở phòng kssv-114.,internet,normal
274,Mạng khu sinh viên rất yếu vào chiều nay.,internet,normal
275,Đin phòng kssv-557 chập chờn khi bật iều hòa.,điện,high
276,cắm phòng KSSV-578 phát ra tia lửa.,điện,urgent
277,"Van khóa nước tổng khu D bị khóa, không có nước sử dụng.",nước,normal
278,Phòng 503 bị nấm mốc trắng mc trên tưng gần cửa sổ.,vệ sinh,normal
279,ng nước tầng 4 kssv bị vỡ.,nước,urgent
280,nghị KTX tăng cưng bảo mật mạng để tránh virus và mã độc.,internet,normal
281,cắm phòng KSSV-180 phát ra tia lửa.,điện,high
282,Quạt phòng kssv-226 không quay.,thiết bị,normal
283,Mạng khu sinh viên rất yếu vào trưa nay.,internet,normal
284,Mùi hôi từ nhà vệ sinh kssv-400 rất khó chịu.,vệ sinh,normal
285,"Router tầng 6 bị lỗi, phòng KSSV-439 không vào mạng.",internet,normal
286,Phòng 408 bị nước chảy từ đưng ống của điu hòa.,thiết bị,normal
287,Cống thoát nước phòng KSSV-199 bị nghẹt.,vệ sinh,normal
288,Báo cáo camera an ninh khu vực cầu thang bộ bị hng.,thiết bị,normal
289,Đèn trong phòng kssv-534 b cháy.,điện,normal
290,Nước chảy yếu ở nhà tắm kssv-455.,nước,normal
291,"Cửa tủ đồ cá nhân phòng 412 bị bung bản l, không đóng được.",thiết bị,normal
292,Cống thoát nước phòng kssv-339 bị nghẹt.,vệ sinh,normal
293,Wi-Fi phòng KSSV-148 không kết nối được.,internet,normal
294,Mùi hôi từ nhà vệ sinh kssv-688 rất khó chịu.,vệ sinh,normal
295,Mùi hôi từ nhà vệ sinh kssv-236 rất khó chịu.,vệ sinh,normal
296,Khu sinh viên khu vực phòng KSSV-309 mất điện toàn bộ.,điện,high
297,Nước chảy yếu ở nhà tắm gần phòng KSSV-492.,nước,normal
298,Báo cáo bồn rửa tay bị ố vàng và có cặn bẩn bám vào.,vệ sinh,normal
299,Điều hòa phòng KSSV-215 b hỏng.,thiết bị,normal
300,Bảng điện hành lang gần KSSV-646 nhảy aptomat liên tục.,điện,urgent
301,Phòng kssv-125 mất điện từ tối qua.,điện,high
302,"ng nước tầng 2 bị vỡ, ảnh hưởng khu vực KSSV-137.",nước,high
303,Khu sinh viên khu vực phòng KSSV-689 mất điện toàn bộ.,điện,high
304,Thiết bị phát WiFi ở hành lang tầng 4 bị nóng rát bất thưng.,internet,normal
305,Phòng kssv-444 mất điện từ tối qua.,điện,high
306,Thùng rác khu sinh viên gần KSSV-189 đầy tràn.,vệ sinh,normal
307,Điều hòa phòng KSSV-242 b hỏng.,thiết bị,normal
308,Đèn học phòng kssv-229 b hỏng.,thiết bị,normal
309,Báo cáo cầu chì của bộ sạc xe điện ở nhà xe bị nóng chảy.,điện,urgent
310,Cần bổ sung rèm cửa cho phòng kssv-472.,khác,normal
311,Báo cáo sinh viên bị thương do ngã trong phòng tắm chung.,khác,normal
312,Quạt phòng KSSV-126 không quay.,thiết bị,normal
313,Quạt phòng kssv-559 không quay.,thiết bị,normal
314,Cần bổ sung rèm cửa cho phòng kssv-339.,khác,normal
315,Đin phòng kssv-629 chập chờn khi bật iều hòa.,điện,high
316,Mùi hôi từ khu vệ sinh gần phòng KSSV-500 rất khó chịu.,vệ sinh,normal
317,Cống thoát nước phòng KSSV-425 bị nghẹt.,vệ sinh,normal
318,Cống thoát nước phòng KSSV-462 bị nghẹt.,vệ sinh,normal
319,Đèn trong phòng kssv-136 b cháy.,điện,normal
320,Quạt phòng KSSV-402 không quay.,thiết bị,normal
321,Thùng rác khu sinh viên gần KSSV-218 đầy tràn.,vệ sinh,normal
322,Không vào được mạng tại phòng KSSV-240.,internet,normal
323,Có tiếng ồn lớn từ phòng kssv-351 ban đêm.,khác,normal
324,Quạt phòng KSSV-282 không quay.,thiết bị,normal
325,Nước rửa tay ở nhà vệ sinh chung bị hết.,vệ sinh,normal
326,Cổng mạng ở khu vực tự hc chung bị mất kết nối.,internet,normal
327,Mùi hôi từ khu vệ sinh gần phòng KSSV-308 rất khó chịu.,vệ sinh,normal
328,Wi-Fi phòng KSSV-246 không kết nối được.,internet,normal
329,Không vào được mạng tại phòng KSSV-272.,internet,normal
330,Không vào được mạng tại phòng KSSV-257.,internet,normal
331,Khu sinh viên khu vực phòng KSSV-315 mất điện toàn bộ.,điện,high
332,Phòng kssv-110 không có nước.,nước,high
333,cắm phòng kssv-328 phát ra tia lửa.,điện,high
334,Đin phòng kssv-626 chập chờn khi bật iều hòa.,điện,high
335,Có tiếng ồn lớn từ phòng kssv-318 ban đêm.,khác,normal
336,"Lỗi bộ ổn áp chung của tòa nhà bị quá tải, phát ra tiếng kêu lớn.",điện,normal
337,Phòng 404 bị sụt điện áp liên tục mỗi khi điu hòa phòng bên cạnh khởi động.,điện,high
338,"ng nước tầng 6 bị vỡ, ảnh hưởng khu vực KSSV-270.",nước,urgent
339,Đin tại phòng KSSV-270 chập chờn khi bật iều hòa.,điện,high
340,"Phòng 301 báo cáo toilet bị tắc nghẽn hoàn toàn, không thể sử dụng.",nước,normal
341,cắm phòng kssv-191 phát ra tia lửa.,điện,high
342,Quạt phòng KSSV-387 không quay.,thiết bị,normal
343,Cống thoát nước phòng KSSV-480 bị nghẹt.,vệ sinh,normal
344,Có người lạ i lại gần khu phòng KSSV-102 vào từ hôm qua.,khác,normal
345,Phòng kssv-602 có rác chưa dọn.,vệ sinh,normal
346,Vòi nước phòng kssv-629 bị rò rỉ.,nước,normal
347,Lỗi bình chữa cháy ở hành lang tầng 3 bị hết hạn sử dụng.,thiết bị,normal
348,Ổ điện bàn hc kssv-571 không hoạt động.,thiết bị,normal
349,Lỗi kết nối mạng bị chậm khi sử dụng trình duyệt Firefox.,internet,normal
350,Đin phòng kssv-469 chập chờn khi bật iều hòa.,điện,high
351,Lỗi cổng mạng LAN phòng 506 không nhận tín hiệu từ dây mạng.,internet,normal
352,ng thoát nước ở ban công bị tắc do rác.,vệ sinh,normal
353,Có ngưi lạ đi lại gần phòng kssv-431 tối qua.,khác,normal
354,Thùng rác khu sinh viên gần KSSV-130 đầy tràn.,vệ sinh,normal
355,Đèn học phòng KSSV-419 b hỏng.,thiết bị,normal
356,Mạng bị ngắt hoàn toàn vào các ngày lễ lớn mà không có thông báo.,internet,normal
357,Phòng 204 báo cáo rò rỉ nước vào đưng dây điện chính.,điện,high
358,Bảng điện hành lang gần KSSV-111 nhảy aptomat liên tục.,điện,urgent
359,Báo cáo bụi bẩn bám dày trên các khung cửa sổ.,vệ sinh,normal
360,Phòng kssv-592 có rác chưa dọn.,vệ sinh,normal
361,"Giường tầng phòng 301 b gãy thanh ngang, không dám ngủ.",thiết bị,normal
362,Phòng kssv-162 có rác chưa dọn.,vệ sinh,normal
363,Đin tại phòng KSSV-169 chập chờn khi bật iều hòa.,điện,high
364,Phòng KSSV-659 có rác chưa dọn.,vệ sinh,normal
365,Đèn học phòng kssv-519 b hỏng.,thiết bị,normal
366,Không vào được mạng ở phòng kssv-181.,internet,normal
367,Phòng em bị sinh viên khác lén vào phòng khi không có ai.,khác,normal
368,Phòng em bị mất thẻ từ và cần làm lại gấp.,thiết bị,high
369,Vòi nước phòng KSSV-297 bị rò rỉ.,nước,high
370,Báo cáo máy giặt công cộng khu A bị rò rỉ nước lớn dưới chân đế.,thiết bị,high
